Command: /home/users9/ma747863/526LSP22/Lab9/./simv -l lab9.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May 21 21:46 2022
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
0: clk: 0, rst_n: 1, wr_en: 0, rd_en: 0, data_in: 0, data_out: x, count: x, empty: x, almostEmpty: x, full: x, almostFull: x, overflow: x, underflow: x, valid: x
5: clk: 1, rst_n: 1, wr_en: 0, rd_en: 0, data_in: 0, data_out: x, count: 0, empty: 1, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
 
Count is Behaving Correctly
Write to all Memory Locations
10: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 1, data_out: x, count: 0, empty: 1, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
15: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 1, data_out: x, count: 1, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
20: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 2, data_out: x, count: 1, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
25: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 2, data_out: x, count: 2, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
30: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 3, data_out: x, count: 2, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
35: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 3, data_out: x, count: 3, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
40: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 4, data_out: x, count: 3, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
45: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 4, data_out: x, count: 4, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
50: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 5, data_out: x, count: 4, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
